adduser	3.118ubuntu5
libvorbisenc2:amd64	1.3.7-1build2
libwayland-client0:amd64	1.20.0-1ubuntu0.1
libwayland-cursor0:amd64	1.20.0-1ubuntu0.1
libwayland-egl1:amd64	1.20.0-1ubuntu0.1
libwayland-server0:amd64	1.20.0-1ubuntu0.1
libwebp7:amd64	1.2.2-2ubuntu0.22.04.2
libwrap0:amd64	7.6.q-31build2
libx11-6:amd64	2:1.7.5-1ubuntu0.3
libx11-data	2:1.7.5-1ubuntu0.3
libx11-xcb1:amd64	2:1.7.5-1ubuntu0.3
libxau6:amd64	1:1.0.9-1build5
libxaw7:amd64	2:1.0.14-1
libxcb1:amd64	1.14-3ubuntu3
libxcb-dri2-0:amd64	1.14-3ubuntu3
libxcb-dri3-0:amd64	1.14-3ubuntu3
libxcb-glx0:amd64	1.14-3ubuntu3
libxcb-present0:amd64	1.14-3ubuntu3
libxcb-randr0:amd64	1.14-3ubuntu3
libxcb-render0:amd64	1.14-3ubuntu3
libxcb-shm0:amd64	1.14-3ubuntu3
libxcb-sync1:amd64	1.14-3ubuntu3
libxcb-xfixes0:amd64	1.14-3ubuntu3
libxcomposite1:amd64	1:0.4.5-1build2
libxcursor1:amd64	1:1.2.0-2build4
libxcvt0:amd64	0.1.1-3
libxdamage1:amd64	1:1.1.5-2build2
libxdmcp6:amd64	1:1.1.3-0ubuntu5
libxext6:amd64	2:1.3.4-1build1
libxfixes3:amd64	1:6.0.0-1
libxfont2:amd64	1:2.0.5-1build1
libxi6:amd64	2:1.8-1build1
libxinerama1:amd64	2:1.1.4-3
libxkbcommon0:amd64	1.4.0-1
libxkbfile1:amd64	1:1.1.0-1build3
libxml2:amd64	2.9.13+dfsg-1ubuntu0.11
libxmlb2:amd64	0.3.6-2build1
libxmlsec1:amd64	1.2.33-1build2
libxmlsec1-openssl:amd64	1.2.33-1build2
libxmu6:amd64	2:1.1.3-3
libxmuu1:amd64	2:1.1.3-3
libxnvctrl0:amd64	510.47.03-0ubuntu1.22.04.1
libxpm4:amd64	1:3.5.12-1ubuntu0.22.04.2
libxrandr2:amd64	2:1.5.2-1build1
libxrender1:amd64	1:0.9.10-1build4
libxshmfence1:amd64	1.3-1build4
libxslt1.1:amd64	1.1.34-4ubuntu0.22.04.5
libxt6:amd64	1:1.2.1-1
libxtables12:amd64	1.8.7-1ubuntu5.2
libxtst6:amd64	2:1.2.3-1build4
libxxf86vm1:amd64	1:1.1.4-1build3
libxxhash0:amd64	0.8.1-1
libyaml-0-2:amd64	0.2.2-1build2
libzstd1:amd64	1.4.8+dfsg-3build1
linux-base	4.5ubuntu9+22.04.1
linux-firmware	20220329.git681281e4-0ubuntu3.41
linux-generic	5.15.0.171.160
linux-headers-5.15.0-170	5.15.0-170.180
linux-headers-5.15.0-170-generic	5.15.0-170.180
linux-headers-5.15.0-171	5.15.0-171.181
linux-headers-5.15.0-171-generic	5.15.0-171.181
linux-headers-generic	5.15.0.171.160
linux-image-5.15.0-119-generic	5.15.0-119.129
linux-image-5.15.0-168-generic	5.15.0-168.178
linux-image-5.15.0-170-generic	5.15.0-170.180
linux-image-5.15.0-171-generic	5.15.0-171.181
linux-image-generic	5.15.0.171.160
linux-libc-dev:amd64	5.15.0-171.181
linux-modules-5.15.0-119-generic	5.15.0-119.129
linux-modules-5.15.0-168-generic	5.15.0-168.178
linux-modules-5.15.0-170-generic	5.15.0-170.180
linux-modules-5.15.0-171-generic	5.15.0-171.181
linux-modules-extra-5.15.0-119-generic	5.15.0-119.129
linux-modules-extra-5.15.0-168-generic	5.15.0-168.178
linux-modules-extra-5.15.0-170-generic	5.15.0-170.180
linux-modules-extra-5.15.0-171-generic	5.15.0-171.181
locales	2.35-0ubuntu3.13
login	1:4.8.1-2ubuntu2.2
logrotate	3.19.0-1ubuntu1.1
logsave	1.46.5-2ubuntu1.2
lsb-base	11.1.0ubuntu4
lsb-release	11.1.0ubuntu4
lshw	02.19.git.2021.06.19.996aaad9c7-2build1
lsof	4.93.2+dfsg-1.1build2
lto-disabled-list	24
lvm2	2.03.11-2.1ubuntu5
lxd-agent-loader	0.5
make	4.3-4.1build1
man-db	2.10.2-1
manpages	5.10-1ubuntu1
manpages-dev	5.10-1ubuntu1
mawk	1.3.4.20200120-3
mdadm	4.2-0ubuntu2
media-types	7.0.0
mesa-utils	8.4.0-1ubuntu1
mesa-utils-bin:amd64	8.4.0-1ubuntu1
mesa-vdpau-drivers:amd64	23.2.1-1ubuntu3.1~22.04.3
modemmanager	1.20.0-1~ubuntu22.04.4
mokutil	0.6.0-2~22.04.2
motd-news-config	12ubuntu4.7
mount	2.37.2-4ubuntu3.5
mtr-tiny	0.95-1
multipath-tools	0.8.8-1ubuntu1.22.04.4
nano	6.2-1ubuntu0.1
ncurses-base	6.3-2ubuntu0.1
ncurses-bin	6.3-2ubuntu0.1
ncurses-term	6.3-2ubuntu0.1
needrestart	3.5-5ubuntu2.5
netbase	6.3
netcat-openbsd	1.218-4ubuntu1
netplan.io	0.106.1-7ubuntu0.22.04.4
networkd-dispatcher	2.1-2ubuntu0.22.04.2
network-manager	1.36.6-0ubuntu2.2
network-manager-pptp	1.2.10-1
nfs-common	1:2.6.1-1ubuntu1.2
nftables	1.0.2-1ubuntu3
nginx	1.18.0-6ubuntu14.8
nginx-common	1.18.0-6ubuntu14.8
nginx-core	1.18.0-6ubuntu14.8
ntfs-3g	1:2021.8.22-3ubuntu1.2
nvidia-compute-utils-535	535.288.01-0ubuntu0.22.04.1
nvidia-dkms-535	535.288.01-0ubuntu0.22.04.1
nvidia-driver-535	535.288.01-0ubuntu0.22.04.1
nvidia-firmware-535-535.288.01	535.288.01-0ubuntu0.22.04.1
nvidia-kernel-common-535	535.288.01-0ubuntu0.22.04.1
nvidia-kernel-source-535	535.288.01-0ubuntu0.22.04.1
nvidia-prime	0.8.17.1
nvidia-settings	510.47.03-0ubuntu1.22.04.1
nvidia-utils-535	535.288.01-0ubuntu0.22.04.1
open-iscsi	2.1.5-1ubuntu1.1
openssh-client	1:8.9p1-3ubuntu0.14
openssh-server	1:8.9p1-3ubuntu0.14
openssh-sftp-server	1:8.9p1-3ubuntu0.14
openssl	3.0.2-0ubuntu1.21
open-vm-tools	2:12.3.5-3~ubuntu0.22.04.3
os-prober	1.79ubuntu2
overlayroot	0.47ubuntu1
packagekit	1.2.5-2ubuntu3
packagekit-tools	1.2.5-2ubuntu3
parted	3.4-2build1
passwd	1:4.8.1-2ubuntu2.2
pastebinit	1.5.1-1ubuntu1
patch	2.7.6-7build2
pci.ids	0.0~2022.01.22-1ubuntu0.1
pciutils	1:3.7.0-6
perl	5.34.0-3ubuntu1.5
perl-base	5.34.0-3ubuntu1.5
perl-modules-5.34	5.34.0-3ubuntu1.5
pigz	2.6-1
pinentry-curses	1.1.1-1build2
pkexec	0.105-33
pkg-config	0.29.2-1ubuntu3
plymouth	0.9.5+git20211018-1ubuntu3
plymouth-theme-ubuntu-text	0.9.5+git20211018-1ubuntu3
policykit-1	0.105-33
polkitd	0.105-33
pollinate	4.33-3ubuntu2.1
portaudio19-dev:amd64	19.6.0-1.1
powermgmt-base	1.36ubuntu0.22.04.1
ppp	2.4.9-1+1ubuntu3
pptp-linux	1.10.0-1build3
procps	2:3.3.17-6ubuntu2.1
psmisc	23.4-2build3
publicsuffix	20211207.1025-1
python3.10	3.10.12-1~22.04.15
python3.10-dev	3.10.12-1~22.04.15
python3.10-minimal	3.10.12-1~22.04.15
python3.10-venv	3.10.12-1~22.04.15
python3	3.10.6-1~22.04.1
python3-apport	2.20.11-0ubuntu82.10
python3-apt	2.4.0ubuntu4.1
python3-attr	21.2.0-1ubuntu1
python3-automat	20.2.0-1
python3-babel	2.8.0+dfsg.1-7
python3-bcrypt	3.2.0-1build1
python3-blinker	1.4+dfsg1-0.4
python3-certifi	2020.6.20-1
python3-cffi-backend:amd64	1.15.0-1build2
python3-chardet	4.0.0-1
python3-click	8.0.3-1
python3-colorama	0.4.4-1
python3-commandnotfound	22.04.0
python3-configobj	5.0.6-5ubuntu0.1
python3-constantly	15.1.0-2
python3-cryptography	3.4.8-1ubuntu2.3
python3-dbus	1.2.18-3build1
python3-debconf	1.5.79ubuntu1
python3-debian	0.1.43ubuntu1.1
python3-dev	3.10.6-1~22.04.1
python3-distro	1.7.0-1
python3-distro-info	1.1ubuntu0.2
python3-distupgrade	1:22.04.20
python3-distutils	3.10.8-1~22.04
python3-docker	5.0.3-1
python3-dockerpty	0.4.1-2
python3-docopt	0.6.2-4
python3-dotenv	0.19.2-1
python3-gdbm:amd64	3.10.8-1~22.04
python3-gi	3.42.1-0ubuntu1
python3-hamcrest	2.0.2-2
python3-httplib2	0.20.2-2
python3-hyperlink	21.0.0-3
python3-idna	3.3-1ubuntu0.1
python3-importlib-metadata	4.6.4-1
python3-incremental	21.3.0-1
python3-jeepney	0.7.1-3
python3-jinja2	3.0.3-1ubuntu0.4
python3-jsonpatch	1.32-2
python3-json-pointer	2.0-0ubuntu1
python3-jsonschema	3.2.0-0ubuntu2
python3-jwt	2.3.0-1ubuntu0.2
python3-keyring	23.5.0-1
python3-launchpadlib	1.10.16-1
python3-lazr.restfulclient	0.14.4-1
python3-lazr.uri	1.0.6-2
python3-lib2to3	3.10.8-1~22.04
python3-magic	2:0.4.24-2
python3-markupsafe	2.0.1-2build1
python3-minimal	3.10.6-1~22.04.1
python3-more-itertools	8.10.0-2
python3-netifaces:amd64	0.11.0-1build2
python3-newt:amd64	0.52.21-5ubuntu2
python3-oauthlib	3.2.0-1ubuntu0.1
python3-openssl	21.0.0-1
python3-packaging	21.3-1
python3-pexpect	4.8.0-2ubuntu1
python3-pip	22.0.2+dfsg-1ubuntu0.7
python3-pip-whl	22.0.2+dfsg-1ubuntu0.7
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3
python3-problem-report	2.20.11-0ubuntu82.10
python3-ptyprocess	0.7.0-3
python3-pyasn1	0.4.8-1ubuntu0.1
python3-pyasn1-modules	0.2.1-1
python3-pyparsing	2.4.7-1
python3-pyrsistent:amd64	0.18.1-1build1
python3-requests	2.25.1+dfsg-2ubuntu0.3
python3-secretstorage	3.3.1-1
python3-serial	3.5-1
python3-service-identity	18.1.0-6
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3
python3-setuptools-whl	59.6.0-1.2ubuntu0.22.04.3
python3-six	1.16.0-3ubuntu1
python3-software-properties	0.99.22.9
python3-systemd	234-3ubuntu2
python3-texttable	1.6.4-1
python3-twisted	22.1.0-2ubuntu2.6
python3-tz	2022.1-1ubuntu0.22.04.1
python3-update-manager	1:22.04.22
python3-urllib3	1.26.5-1~exp1ubuntu0.6
python3-venv	3.10.6-1~22.04.1
python3-wadllib	1.3.6-1
python3-websocket	1.2.3-1
python3-wheel	0.37.1-2ubuntu0.22.04.1
python3-xkit	0.5.0ubuntu5
python3-yaml	5.4.1-1ubuntu1
python3-zipp	1.0.0-3ubuntu0.1
python3-zope.interface	5.4.0-1build1
python-apt-common	2.4.0ubuntu4.1
python-babel-localedata	2.8.0+dfsg.1-7
readline-common	8.1.2-1
rpcbind	1.2.6-2build1
rpcsvc-proto	1.4.2-0ubuntu6
rsync	3.2.7-0ubuntu0.22.04.4
rsyslog	8.2112.0-2ubuntu2.2
runc	1.3.3-0ubuntu1~22.04.3
run-one	1.17-0ubuntu1
sbsigntool	0.9.4-2ubuntu2
screen	4.9.0-1ubuntu0.1
screen-resolution-extra	0.18.2ubuntu0.1
secureboot-db	1.8
sed	4.8-1ubuntu2
sensible-utils	0.0.17
session-migration	0.3.6
sg3-utils	1.46-1ubuntu0.22.04.1
sg3-utils-udev	1.46-1ubuntu0.22.04.1
shared-mime-info	2.1-2
shim-signed	1.51.4+15.8-0ubuntu1
snapd	2.73+ubuntu22.04
software-properties-common	0.99.22.9
sosreport	4.10.2-0ubuntu0~22.04.1
squashfs-tools	1:4.5-3build1
ssh-import-id	5.11-0ubuntu1
strace	5.16-0ubuntu3
sudo	1.9.9-1ubuntu2.6
systemd	249.11-0ubuntu3.17
systemd-hwe-hwdb	249.11.6
systemd-sysv	249.11-0ubuntu3.17
systemd-timesyncd	249.11-0ubuntu3.17
sysvinit-utils	3.01-1ubuntu1
tar	1.34+dfsg-1ubuntu0.1.22.04.2
tcl	8.6.11+1build2
tcl8.6	8.6.12+dfsg-1build1
tcpdump	4.99.1-3ubuntu0.2
telnet	0.17-44build1
thermald	2.4.9-1ubuntu0.4
thin-provisioning-tools	0.9.0-2ubuntu1
time	1.9-0.1build2
tmux	3.2a-4ubuntu0.2
tnftp	20210827-4build1
tpm-udev	0.6
tzdata	2025b-0ubuntu0.22.04.1
ubuntu-advantage-tools	37.1ubuntu0~22.04
ubuntu-drivers-common	1:0.9.6.2~0.22.04.10
ubuntu-fan	0.12.16
ubuntu-keyring	2021.03.26
ubuntu-minimal	1.481.5
ubuntu-mono	20.10-0ubuntu2
ubuntu-pro-client	37.1ubuntu0~22.04
ubuntu-pro-client-l10n	37.1ubuntu0~22.04
ubuntu-release-upgrader-core	1:22.04.20
ubuntu-server	1.481.5
ubuntu-server-minimal	1.481.5
ubuntu-standard	1.481.5
ucf	3.0043
udev	249.11-0ubuntu3.17
udisks2	2.9.4-1ubuntu2.3
ufw	0.36.1-4ubuntu0.1
unattended-upgrades	2.8ubuntu1
unzip	6.0-26ubuntu3.2
update-manager-core	1:22.04.22
update-notifier-common	3.192.54.8
upower	0.99.17-1
usb.ids	2022.04.02-1
usb-modeswitch	2.6.1-3ubuntu2
usb-modeswitch-data	20191128-4
usbmuxd	1.1.1-2ubuntu0.1
usbutils	1:014-1build1
usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3.5
uuid-dev:amd64	2.37.2-4ubuntu3.5
uuid-runtime	2.37.2-4ubuntu3.5
vdpau-driver-all:amd64	1.4-3build2
vim	2:8.2.3995-1ubuntu2.24
vim-common	2:8.2.3995-1ubuntu2.24
vim-runtime	2:8.2.3995-1ubuntu2.24
vim-tiny	2:8.2.3995-1ubuntu2.24
wget	1.21.2-2ubuntu1.1
whiptail	0.52.21-5ubuntu2
wireless-regdb	2025.10.07-0ubuntu1~22.04.1
wpasupplicant	2:2.10-6ubuntu2.4
x11-common	1:7.7+23ubuntu2
x11-xkb-utils	7.7+5build4
xauth	1:1.1-1build2
xcvt	0.1.1-3
xdg-user-dirs	0.17-2ubuntu4
xfonts-base	1:1.0.5
xfonts-encodings	1:1.0.5-0ubuntu2
xfonts-utils	1:7.7+6build2
xfsprogs	5.13.0-1ubuntu2.1
xkb-data	2.33-1
xserver-common	2:21.1.4-2ubuntu1.7~22.04.16
xserver-xorg-core	2:21.1.4-2ubuntu1.7~22.04.16
xserver-xorg-video-nvidia-535	535.288.01-0ubuntu0.22.04.1
xxd	2:8.2.3995-1ubuntu2.24
xz-utils	5.2.5-2ubuntu1
zerofree	1.1.1-1build3
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu9.2
zstd	1.4.8+dfsg-3build1
